date,specie,average_amount
1999-01-17,43,120.0000
1999-01-23,41,5.0000
1999-01-23,43,54.0000
1999-01-30,39,24.0000
1999-01-30,43,459.0000
1999-01-30,49,9.0000
1999-01-30,945,115.0000
1999-03-06,20,1.0000
1999-03-06,43,28.0000
1999-03-06,150,6.0000
1999-03-06,206,1.0000
1999-03-06,232,1.0000
1999-03-06,233,4.0000
1999-03-06,323,3.0000
1999-03-06,397,3.0000
1999-03-12,20,52.0000
1999-03-12,41,15.0000
1999-03-12,45,40.0000
1999-03-12,101,2.0000
1999-03-12,145,7.0000
1999-03-12,150,103.0000
1999-03-12,200,23.0000
1999-03-12,232,18.0000
1999-03-12,233,649.0000
1999-03-12,268,405.0000
1999-03-12,278,176.0000
1999-03-12,288,56.0000
1999-03-12,324,45.0000
1999-03-12,377,2.0000
1999-03-12,391,6.0000
1999-03-12,397,123.0000
1999-03-12,402,6.0000
1999-03-12,405,5.0000
1999-03-12,408,5.0000
1999-03-12,438,169.0000
1999-03-12,945,2.0000
1999-03-13,20,52.6667
1999-03-13,45,48.5000
1999-03-13,52,1.0000
1999-03-13,101,21.6667
1999-03-13,129,2.5000
1999-03-13,133,1.0000
1999-03-13,145,7.0000
1999-03-13,150,59.0000
1999-03-13,175,1.5000
1999-03-13,200,30.0000
1999-03-13,206,1.0000
1999-03-13,232,3.0000
1999-03-13,233,262.0000
1999-03-13,268,17.0000
1999-03-13,278,25.0000
1999-03-13,289,14.0000
1999-03-13,323,346.0000
1999-03-13,324,1.0000
1999-03-13,325,2.0000
1999-03-13,391,16.0000
1999-03-13,397,144.0000
1999-03-13,402,57.0000
1999-03-13,438,3.0000
1999-03-18,20,6.0000
1999-03-18,54,2.0000
1999-03-18,150,2.0000
1999-03-18,232,1.0000
1999-03-18,268,54.0000
1999-03-18,278,44.0000
1999-03-18,288,7.0000
1999-03-18,323,14.0000
1999-03-18,324,3.0000
1999-03-18,325,96.0000
1999-03-18,391,1.0000
1999-03-18,397,449.0000
1999-03-18,402,15.0000
1999-03-18,403,2.0000
1999-03-18,407,1.0000
1999-03-18,408,2.0000
1999-03-18,438,1.0000
1999-03-20,20,11.0000
1999-03-20,43,400.0000
1999-03-20,45,7.0000
1999-03-20,150,9.0000
1999-03-20,200,5.0000
1999-03-20,232,2.0000
1999-03-20,233,97.0000
1999-03-20,268,2.0000
1999-03-20,278,3.0000
1999-03-20,289,3.0000
